formula,YS
Al0.053 Cu1 Mn1 Ni1,330
Al0.111 Cu1 Mn1 Ni1,515
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,750
Al0.25 Mo1 Nb1 Ti1 V1,1250
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,1188
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,268
Al0.4 Co1 Cu0.6 Ni1 Si0.2,588
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,544
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,1580
Al0.5 Cr1 Fe1 Mn1 Ni1,1091
Al0.5 Cr1 Nb1 Ti2 V0.5,1240
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,1302
Al0.5 Mo1 Nb1 Ti1 V1,1625
Al0.6 Mo1 Ta1 Ti1 V1,962
Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,680
Al0.667 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti1,1272
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,1900
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,1415
Al0.75 Mo1 Nb1 Ti1 V1,1260
Al0.8 Cr1 Fe1 Mn1 Ni1,1200
Al1 C0.1 Co1 Cr1 Fe1 N1,957
Al1 C0.2 Co1 Cr1 Fe1 N1,906
Al1 C0.3 Co1 Cr1 Fe1 N1,867
Al1 C0.4 Co1 Cr1 Fe1 N1,1056
Al1 C0.5 Co1 Cr1 Fe1 N1,1060
Al1 C1 Co1 Cr1 Fe1 N1,1251
Al1 C1.5 Co1 Cr1 Fe1 N1,1255
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,1241
Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,1324
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,1566
Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,1503
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,1804
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,2456
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,2649
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,2670
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,2757
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,1641
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,1641
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,1959
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,1959
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,2473
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,2473
Al1 Co1 Cr1 Fe1 Ni1,1373
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,2260
Al1 Co1 Cr1 Fe1 Ni1 Ti1,1860
Al1 Co1 Cr1 Fe1 Ni1 Ti1.5,2220
Al1 Co1 Cu1 Fe1 Nd1 Ni1,670
Al1 Co1 Cu1 Fe1 Ni0.5,929
Al1 Co1 Cu1 Fe1 Ni0.8,1021
Al1 Co1 Cu1 Fe1 Ni1 Si1,1930
Al1 Co1 Cu1 Fe1 Ni1 Zr1,1050
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,2161.7
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,2185.1
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,2228.7
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,1314.5
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,618.8
Al1 Cr1 Fe1 Ni1,1406.2
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,1489
Al1 Mo1 Nb1 Ti1 V1,1375
Al1 Nb1 Ti1 Zr1,1590
Al1.5 Mo1 Nb1 Ti1 V1,500
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7,1510
AlCoCrFeNiSi,2411
AlCoCrFeNiSi0.2,1265
AlCoCrFeNiSi0.4,1481
AlCoCrFeNiSi0.6,1834
AlCoCrFeNiSi0.8,2179
AlCrFeNiMo0.2,1487.4
AlCrFeNiMo0.5,1748.6
AlCrFeNiMo0.8,1512.5
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,1183
C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,1074
C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,1201
C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,1144
C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,1202
C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,1241
Co0.5 Fe0.5 Mo0.5 Ni1 V0.5,679.1
Co1 Cr0.2 Fe1 Ni1 Si0.2,225
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,700
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,1042
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,1272
Co1 Cr1 Fe1 Ni1 W0.2,335
Co1 Cr1 Fe1 Ni1 W0.5,556
Co1 Cr1 Mo1 Nb1,1419.6
Co1 Cr1 Mo1 Nb1 Ti0.2,1905.6
Co1 Cr1 Mo1 Nb1 Ti0.4,1771.3
Co1 Cr1 Mo1 Nb1 Ti0.5,1609.2
Co1 Cr1 Mo1 Nb1 Ti1,1096.8
Co1 Fe1 Ni1 V1,428.3
Cr1 Fe1 Mo1 Nb1 Ti1,1647
Cr1 Fe1 Mo1 Nb1 V1,2663
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,1595
Cu1 Mn1 Ni1 Sn0.053,380
Cu1 Mn1 Ni1 Sn0.111,620
Fe1 Mo1 Nb1 Ti1 V1,1707
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,1115
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,1065
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,1025
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,980
Hf0.25 Ti1 V0.5 Zr0.5,1160
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,1350
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,1370
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,1600
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,1550
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,1650
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,1112
Hf1 Mo0.5 Nb Si0.3 Ti V0.5,1617
Hf1 Mo0.5 Nb Si0.5 Ti V0.5,1787
Hf1 Mo0.5 Nb Si0.7 Ti V0.5,2134
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,1317
Hf1 Mo0.5 Nb1 Ti1 V0.5,1260
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,1373
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,1512
Hf1 Mo1 Sc1 Ta1 Zr1,1778
Hf1 Mo1 Ta1 Ti1 Zr1,1600
Hf1 Sc1 Ti1 Y1 Zr1,793
Hf1 Sc1 Ti1 Zr1,1101
Hf1 Ti1 Y1 Zr1,554
Hf1 Ti1 Zr1,773
Mo0.1 Nb1 Ti1 V0.3 Zr1,932
Mo0.3 Nb1 Ti1 V0.3 Zr1,1312
Mo0.3 Nb1 Ti1 V1 Zr1,1289
Mo0.5 Nb1 Hf0.5 Zr1 Ti1,1176
Mo0.5 Nb1 Ti1 V0.3 Zr1,1301
Mo0.5 Nb1 Ti1 V1 Zr1,1473
Mo0.7 Nb1 Ti1 V0.3 Zr1,1436
Mo0.7 Nb1 Ti1 V1 Zr1,1706
Mo1 Nb1 Re0.5 W1,896
Mo1 Nb1 Ta1 Ti0.25 W1,1109
Mo1 Nb1 Ta1 Ti0.25 W1,1109
Mo1 Nb1 Ta1 Ti0.5 W1,1211
Mo1 Nb1 Ta1 Ti0.5 W1,1211
Mo1 Nb1 Ta1 Ti0.75 W1,1304
Mo1 Nb1 Ta1 Ti1 V1,1400
Mo1 Nb1 Ta1 Ti1 V1 W1,1515
Mo1 Nb1 Ta1 Ti1 W1,1455
Mo1 Nb1 Ta1 V1 W1,1246
Mo1 Nb1 Ta1 W1,1058
Mo1 Nb1 Ti1 V0.25 Zr1,1776
Mo1 Nb1 Ti1 V0.3 Zr1,1455
Mo1 Nb1 Ti1 V0.5 Zr1,1640
Mo1 Nb1 Ti1 V0.5 Zr1,1647
Mo1 Nb1 Ti1 V0.75 Zr1,1680
Mo1 Nb1 Ti1 V0.75 Zr1,1708
Mo1 Nb1 Ti1 V1,1200
Mo1 Nb1 Ti1 V1.0 Zr1,1786
Mo1 Nb1 Ti1 V1.5 Zr1,1720
Mo1 Nb1 Ti1 V2 Zr1,1520
Mo1 Nb1 Ti1 V3 Zr1,1418
Mo1 Nb1 Ti1 Zr1,1592
Mo1.3 Nb1 Ti1 V0.3 Zr1 ,1603
Mo1.3 Nb1 Ti1 V1 Zr1,1496
Mo1.5 Nb1 Ti1 V0.3 Zr1,1576
Mo1.5 Nb1 Ti1 V1 Zr1,1603
Mo1.7 Nb1 Ti1 V1 Zr1,1645
Mo2 Nb1 Ti1 V1 Zr1,1765
Nb1 Ta1 Ti1 V1,965
Nb1 Ta1 Ti1 V1 W1,1420
Nb1 Ta1 V1 W1,1530
Co24.4Cr24.4Fe24.4Ni24.4Mo2.4,260
Cr25Fe25Mo25V25,900
Cr22.2Fe22.2Mo22.2Ti11.1V22.2,1520
Cr18.2Fe18.2Mo18.2Ti27.3V18.2,1105
Cr16.7Fe16.7Mo16.7Ti33.3V16.7,880
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,1255
Al1 Co1 Cr1 Fe1 Ni1 Si1,2411
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,1265
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,1481
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,1834
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,2179
Al1 Cr1 Fe1 Mo0.2 Ni1,1487
Al1 Cr1 Fe1 Mo0.5 Ni1,1749
Al1 Cr1 Fe1 Mo0.8 Ni1,1513
Al0.25 Co1 Fe1 Ni1,158
Al0.5 Co1 Fe1 Ni1,346
Al0.75 Co1 Fe1 Ni1,794
Al1 Co1 Fe1 Ni1,964
Co1 Fe1 Ni1,204
Co1 Fe1 Ni1,209
Co1 Fe1 Ni1 Si0.25,196
Co1 Fe1 Ni1 Si0.5,476
Co1 Fe1 Ni1 Si0.75,1301
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,1005
Al1 Co1 Cr1 Cu1 Fe1 Ni1,1303
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,1234
Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,1469
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,980
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,980
Al1 Cu1 Fe1 Ni1 Ti1,1074
Al1 Cu1 Ni1 Ti1,300
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,1965
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,1965
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,1841
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,2035
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,2000
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,1280
Al0.25 Nb1 Ta1 Ti1 V1,1330
Al0.5 Nb1 Ta1 Ti1 V1,1014
Al1 Nb1 Ta1 Ti1 V1,993
Nb1 Ta1 Ti1 V1,1092
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,1176
Hf1 Mo1 Nb1 Ti1 Zr1,1719
Hf1 Nb1 Si0.5 Ti1 V1,1399
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1862
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1465
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1461
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1312
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,388
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,1620
Al1 Co1 Cr1 Cu1 Fe1 Ni1,948
Cr1 Hf1 Nb1 Ti1 Zr1,1375
Hf1 Nb1 Ti1 V1 Zr1,1170
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,845
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,1617
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,1787
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,2134
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,1540
Al0.2 Mo1 Ta1 Ti1 V1,1021
Al0.6 Mo1 Ta1 Ti1 V1,962
Mo1 Ta1 Ti1 V1,1221
Hf1 Nb1 Ta1 Zr1,1315
