Fe,Co,Cr,Ni,Al,Ti,Mn,Cu,Mo,Nb,Si,Ta,Zr,W,B,Temperature,Exposure,weight,formula
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,10,0.652,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,20,0.754,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,30,0.786,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,40,0.813,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,50,1.087,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,60,1.251,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,70,1.41,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,80,1.502,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,90,1.521,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0,0,0,0,0,0,0,1000,100,1.536,Fe20.0Cr20.0Ni20.0Al20.0Cu20.0
17.5,0.0,17.5,35.2,12.3,0.0,0.0,17.5,0,0,0,0,0,0,0,1100,10,1.098,Fe17.5Cr17.5Ni35.2Al12.3Cu17.5
