formula,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,CFS
Al0.053 Cu1 Mn1 Ni1,Al0.053 Cu1 Mn1 Ni1,4,0.567593025317817,0.47241186617913944,0.4080350390914247,0.38320694819002005,0.3655824349930923,13.0,29.0,16.0,27.08450704225352,1.8545600494549348,25.0,52.0,73.0,21.0,59.243039633147724,4.744867103273975,52.0,26.9815386,63.546,36.5644614,58.502281868915816,3.429306427886248,54.938045,933.47,1728.0,794.53,1524.4821192269899,133.32321046381276,1357.77,7.0,13.0,6.0,9.396986570586309,1.5702499643539525,7.0,3.0,4.0,1.0,3.982640026203734,0.03411721021211807,4.0,121.0,139.0,18.0,131.48149361283984,5.2649936287719195,124.0,1.55,1.91,0.3599999999999999,1.7835997379626598,0.15905700889268293,1.55,1.0,2.0,1.0,1.6724533245987554,0.44051970166967264,1.0,0.0,1.0,1.0,0.017359973796265967,0.03411721021211785,0.0,0.0,10.0,10.0,7.533573534228628,1.9212924543352405,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.223386832623648,1.6726015949903064,7.0,0.0,1.0,1.0,0.32754667540124466,0.44051970166967264,0.0,0.0,5.0,5.0,0.08679986898132984,0.17058605106058927,0.0,0.0,5.0,5.0,2.2928267278087127,1.77345121008273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.7071732721912873,1.581622367757992,1.0,10.32,16.48,6.16,10.727489750049132,0.4241030417283095,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.1951211335373911,0.2622165518916534,0.0,217.0,225.0,8.0,222.37962659679002,3.52415761335739,217.0,1.6724533245987554,0.017359973796265967,7.533573534228628,0.0,False,0.031880743083437246,0.006908853456514045,Al0.008006504842468622 Cu0.3557857979229833 Mn0.30759097624797416 Ni0.32861672098657396 ,Al0.017359973796265967Cu0.32754667540124466Mn0.32754667540124466Ni0.32754667540124466,0.025562803681737942,15.48516908214082,-0.001533133322668274,1.509203761175666,1.0712353829598522,-0.009703427372685263,58.502281868915816,178.60746654579998,-14.849375523389268,0.07599212405710583,0.16945953940264197,9.396986570586307,0.9552818859392995,3.6127317392728466,15.0,1.0,1.0,13.0,0,64.89003275466753,0.23446154582711873,7.40035441129627,-0.026631648743613186,45.0
Al0.053 Cu1 Mn1 Ni1,Al0.053 Cu1 Mn1 Ni1,4,0.567593025317817,0.47241186617913944,0.4080350390914247,0.38320694819002005,0.3655824349930923,13.0,29.0,16.0,27.08450704225352,1.8545600494549348,25.0,52.0,73.0,21.0,59.243039633147724,4.744867103273975,52.0,26.9815386,63.546,36.5644614,58.502281868915816,3.429306427886248,54.938045,933.47,1728.0,794.53,1524.4821192269899,133.32321046381276,1357.77,7.0,13.0,6.0,9.396986570586309,1.5702499643539525,7.0,3.0,4.0,1.0,3.982640026203734,0.03411721021211807,4.0,121.0,139.0,18.0,131.48149361283984,5.2649936287719195,124.0,1.55,1.91,0.3599999999999999,1.7835997379626598,0.15905700889268293,1.55,1.0,2.0,1.0,1.6724533245987554,0.44051970166967264,1.0,0.0,1.0,1.0,0.017359973796265967,0.03411721021211785,0.0,0.0,10.0,10.0,7.533573534228628,1.9212924543352405,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.223386832623648,1.6726015949903064,7.0,0.0,1.0,1.0,0.32754667540124466,0.44051970166967264,0.0,0.0,5.0,5.0,0.08679986898132984,0.17058605106058927,0.0,0.0,5.0,5.0,2.2928267278087127,1.77345121008273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.7071732721912873,1.581622367757992,1.0,10.32,16.48,6.16,10.727489750049132,0.4241030417283095,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.1951211335373911,0.2622165518916534,0.0,217.0,225.0,8.0,222.37962659679002,3.52415761335739,217.0,1.6724533245987554,0.017359973796265967,7.533573534228628,0.0,False,0.031880743083437246,0.006908853456514045,Al0.008006504842468622 Cu0.3557857979229833 Mn0.30759097624797416 Ni0.32861672098657396 ,Al0.017359973796265967Cu0.32754667540124466Mn0.32754667540124466Ni0.32754667540124466,0.025562803681737942,15.48516908214082,-0.001533133322668274,1.509203761175666,1.0712353829598522,-0.009703427372685263,58.502281868915816,178.60746654579998,-14.849375523389268,0.07599212405710583,0.16945953940264197,9.396986570586307,0.9552818859392995,3.6127317392728466,15.0,1.0,1.0,13.0,0,64.89003275466753,0.23446154582711873,7.40035441129627,-0.026631648743613186,45.0
Al0.111 Cu1 Mn1 Ni1,Al0.111 Cu1 Mn1 Ni1,4,0.5578926163524236,0.46366721305513814,0.4004282671268914,0.376062624341106,0.35876669046752435,13.0,29.0,16.0,26.821922211507555,2.1576056425489503,25.0,52.0,73.0,21.0,59.49951783992286,4.821290800336132,52.0,26.9815386,63.546,36.5644614,57.91462416734169,4.12095896195218,54.938045,933.47,1728.0,794.53,1513.4635711989713,141.4804613320844,1357.77,7.0,13.0,6.0,9.46415943426551,1.584159070566062,7.0,3.0,4.0,1.0,3.964320154291225,0.06881358863794634,4.0,121.0,139.0,18.0,131.2860816457731,5.418088530024983,124.0,1.55,1.91,0.3599999999999999,1.7803632272581165,0.16025300256108463,1.55,1.0,2.0,1.0,1.6785599485695917,0.4362326895336496,1.0,0.0,1.0,1.0,0.03567984570877532,0.06881358863794661,0.0,0.0,10.0,10.0,7.39312118289939,2.0660608384450154,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.107360977177757,1.7905998364799016,7.0,0.0,1.0,1.0,0.32144005143040827,0.4362326895336495,0.0,0.0,5.0,5.0,0.1783992285438766,0.34406794318973305,0.0,0.0,5.0,5.0,2.250080360012858,1.7678686210139138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.7499196399871426,1.6070969334453777,1.0,10.32,16.48,6.16,10.834736807103827,0.5540902650643853,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.19148338819982483,0.259666545676744,0.0,217.0,225.0,8.0,222.42847958855677,3.4898615162691837,217.0,1.6785599485695917,0.03567984570877532,7.39312118289939,0.0,False,0.031880743083437246,0.006917049779782147,Al0.016622695011396356 Cu0.3526955376447934 Mn0.304919323300111 Ni0.3257624440436993 ,Al0.03567984570877532Cu0.32144005143040827Mn0.32144005143040827Ni0.32144005143040827,0.028632345283811617,7.92401613423081,-0.003648284027730669,1.6871728061096551,1.0711878854573438,-0.010088012632708608,57.91462416734168,180.17239578459998,-12.305287700845069,0.07675152652392836,0.17218895715486193,9.46415943426551,1.9267804818625054,3.6085792349726775,15.0,1.0,1.0,13.0,0,64.17598521375763,0.24833626794224664,7.827724457578954,-0.03135910844391912,40.0
Al0.111 Cu1 Mn1 Ni1,Al0.111 Cu1 Mn1 Ni1,4,0.5578926163524236,0.46366721305513814,0.4004282671268914,0.376062624341106,0.35876669046752435,13.0,29.0,16.0,26.821922211507555,2.1576056425489503,25.0,52.0,73.0,21.0,59.49951783992286,4.821290800336132,52.0,26.9815386,63.546,36.5644614,57.91462416734169,4.12095896195218,54.938045,933.47,1728.0,794.53,1513.4635711989713,141.4804613320844,1357.77,7.0,13.0,6.0,9.46415943426551,1.584159070566062,7.0,3.0,4.0,1.0,3.964320154291225,0.06881358863794634,4.0,121.0,139.0,18.0,131.2860816457731,5.418088530024983,124.0,1.55,1.91,0.3599999999999999,1.7803632272581165,0.16025300256108463,1.55,1.0,2.0,1.0,1.6785599485695917,0.4362326895336496,1.0,0.0,1.0,1.0,0.03567984570877532,0.06881358863794661,0.0,0.0,10.0,10.0,7.39312118289939,2.0660608384450154,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.107360977177757,1.7905998364799016,7.0,0.0,1.0,1.0,0.32144005143040827,0.4362326895336495,0.0,0.0,5.0,5.0,0.1783992285438766,0.34406794318973305,0.0,0.0,5.0,5.0,2.250080360012858,1.7678686210139138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.7499196399871426,1.6070969334453777,1.0,10.32,16.48,6.16,10.834736807103827,0.5540902650643853,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.19148338819982483,0.259666545676744,0.0,217.0,225.0,8.0,222.42847958855677,3.4898615162691837,217.0,1.6785599485695917,0.03567984570877532,7.39312118289939,0.0,False,0.031880743083437246,0.006917049779782147,Al0.016622695011396356 Cu0.3526955376447934 Mn0.304919323300111 Ni0.3257624440436993 ,Al0.03567984570877532Cu0.32144005143040827Mn0.32144005143040827Ni0.32144005143040827,0.028632345283811617,7.92401613423081,-0.003648284027730669,1.6871728061096551,1.0711878854573438,-0.010088012632708608,57.91462416734168,180.17239578459998,-12.305287700845069,0.07675152652392836,0.17218895715486193,9.46415943426551,1.9267804818625054,3.6085792349726775,15.0,1.0,1.0,13.0,0,64.17598521375763,0.24833626794224664,7.827724457578954,-0.03135910844391912,40.0
Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,6,0.457151376168259,0.36333873378418724,0.30997529546528224,0.2929294232202554,0.2825312180563715,13.0,28.0,15.0,25.631578947368418,2.0960295475530946,27.0,43.0,73.0,30.0,55.89473684210527,4.995383194829177,58.0,26.9815386,58.933195,31.951656399999997,55.01943863508772,4.283206301631271,58.6934,933.47,2180.0,1246.53,1823.1919298245612,145.86389658356407,1728.0,4.0,13.0,9.0,8.263157894736842,1.634349030470914,9.0,3.0,4.0,1.0,3.9649122807017547,0.06771314250538596,4.0,121.0,160.0,39.0,131.61403508771932,7.706986765158512,124.0,1.54,1.91,0.3699999999999999,1.8012280701754384,0.10880270852570026,1.88,1.0,2.0,1.0,1.8245614035087718,0.28931979070483227,2.0,0.0,1.0,1.0,0.03508771929824561,0.06771314250538626,0.0,0.0,8.0,8.0,6.052631578947368,1.523545706371191,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.912280701754386,1.7020621729763004,9.0,0.0,1.0,1.0,0.17543859649122806,0.28931979070483227,0.0,0.0,5.0,5.0,0.17543859649122806,0.33856571252693135,0.0,0.0,8.0,8.0,3.5964912280701755,1.4065866420437059,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.9473684210526314,1.5235457063711908,2.0,10.245,16.69,6.445000000000002,11.299736842105263,1.3091874422899357,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.934468932748538,0.7358586905714579,0.5953947,194.0,229.0,35.0,215.52631578947367,15.106186518928904,194.0,1.8245614035087718,0.03508771929824561,6.052631578947368,0.0,False,0.033645949486530435,0.003874441646086192,Al0.017207021302246148 Co0.28187738572136856 Cr0.16579818030349847 Fe0.1780710356940015 Ni0.2807304465861485 Ti0.07631593039273678 ,Al0.03508771929824561Co0.2631578947368421Cr0.17543859649122806Fe0.17543859649122806Ni0.2631578947368421Ti0.08771929824561403,0.04185394119880171,2.009453698715663,-0.0055223763145978684,2.348414896891351,1.0811282615113849,-0.013671020946737862,55.019438635087724,313.61080022,-7.804197096893443,0.0841001588229741,0.20086180363188672,8.26315789473684,12.403816558941212,4.338245614035087,30.0,1.0,1.0,28.0,0,79.01982456140351,0.28032432335669005,10.853955063096334,-0.04281773421045689,43.5
Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti1,Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti1,6,0.44288807154019294,0.3446634639223975,0.2881140517564832,0.2703489483023541,0.25996676246749395,13.0,28.0,15.0,25.338709677419352,2.3048907388137363,27.0,43.0,73.0,30.0,54.85483870967742,5.712799167533817,58.0,26.9815386,58.933195,31.951656399999997,54.44262906774194,4.68205684807492,58.6934,933.47,2180.0,1246.53,1832.6925806451611,146.97252861602493,1728.0,4.0,13.0,9.0,7.919354838709677,1.883454734651405,9.0,3.0,4.0,1.0,3.967741935483871,0.062434963579604555,4.0,121.0,160.0,39.0,133.90322580645162,10.062434963579605,124.0,1.54,1.91,0.3699999999999999,1.7801612903225805,0.12721123829344433,1.88,1.0,2.0,1.0,1.8387096774193548,0.27055150884495327,2.0,0.0,1.0,1.0,0.03225806451612903,0.062434963579604576,0.0,0.0,8.0,8.0,5.725806451612903,1.8054110301768993,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.596774193548387,1.971904266389178,9.0,0.0,1.0,1.0,0.16129032258064516,0.27055150884495316,0.0,0.0,5.0,5.0,0.16129032258064516,0.3121748178980229,0.0,0.0,8.0,8.0,3.9516129032258065,1.6597294484911551,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.274193548387097,1.8054110301768993,2.0,10.245,16.69,6.445000000000002,11.734435483870968,1.9047346514047871,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8591103521505378,0.7372882966527923,0.5953947,194.0,229.0,35.0,213.79032258064515,15.959937565036423,194.0,1.8387096774193548,0.03225806451612903,5.725806451612903,0.0,False,0.033645949486530435,0.0048075392729376625,Al0.01598696146397041 Co0.2618909353302188 Cr0.15404229894005228 Fe0.16544495037718637 Ni0.2608253196472831 Ti0.14180953424128892 ,Al0.03225806451612903Co0.24193548387096772Cr0.16129032258064516Fe0.16129032258064516Ni0.24193548387096772Ti0.16129032258064516,0.0492766158995421,1.509438745478056,-0.0029971633395663153,3.0085848074921957,1.0808749152081616,-0.013969796787396523,54.44262906774193,337.54430022,-5.753184995936439,0.10227163620992537,0.2492455775234131,7.919354838709678,16.961498439125908,4.379516129032258,30.0,1.0,1.0,28.0,0,75.81983870967743,0.3142894548925003,12.182167013527575,-0.05047103794799766,14.2
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,7,0.4014436757421748,0.3015585198576135,0.24305991955698575,0.22274120016541823,0.2091514725403302,13.0,29.0,16.0,25.636363636363637,2.40495867768595,24.0,43.0,73.0,30.0,56.5,5.7272727272727275,49.0,26.9815386,63.546,36.5644614,55.23746902727273,5.0874858719008245,51.9961,933.47,2180.0,1246.53,1765.3081818181818,200.33504132231403,1728.0,4.0,13.0,9.0,8.454545454545455,1.8677685950413225,6.0,3.0,4.0,1.0,3.9545454545454546,0.08677685950413219,4.0,121.0,160.0,39.0,132.77272727272728,7.2148760330578545,124.0,1.54,1.91,0.3699999999999999,1.795909090909091,0.11285123966942147,1.66,1.0,2.0,1.0,1.6818181818181819,0.4338842975206612,1.0,0.0,1.0,1.0,0.045454545454545456,0.08677685950413223,0.0,0.0,10.0,10.0,6.2727272727272725,1.9090909090909092,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.0,1.9090909090909092,6.0,0.0,1.0,1.0,0.3181818181818182,0.4338842975206612,0.0,0.0,5.0,5.0,0.22727272727272727,0.43388429752066116,0.0,0.0,8.0,8.0,3.272727272727273,1.7520661157024795,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.8181818181818183,1.7272727272727273,2.0,10.245,16.69,6.445000000000002,11.500454545454547,1.3962396694214887,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7735527212121212,0.7680103845730027,0.0,194.0,229.0,35.0,218.0,13.090909090909092,194.0,1.6818181818181819,0.045454545454545456,6.2727272727272725,0.0,False,0.033645949486530435,0.004014143531150287,Al0.02220292845281775 Co0.1939829349955538 Cr0.17114897786081879 Cu0.15687474080474675 Fe0.1838179145866214 Ni0.1931936321604155 Ti0.07877887113902593 ,Al0.045454545454545456Co0.18181818181818182Cr0.18181818181818182Cu0.13636363636363635Fe0.18181818181818182Ni0.18181818181818182Ti0.09090909090909091,0.042994068140187275,3.7694900745697235,-0.007863220819112575,2.477272727272727,1.081058207173005,-0.01554721513376999,55.23746902727273,303.80607965,-8.410765551804985,0.0878783094908234,0.22580578512396693,8.454545454545455,7.2809917355371905,4.199999999999999,31.0,2.0,1.0,28.0,0,74.5190909090909,0.3467864743471957,13.92285123966942,-0.06248154738550585,39.0
Al0.25 Mo1 Nb1 Ti1 V1,Al0.25 Mo1 Nb1 Ti1 V1,5,0.47425045578226765,0.3739918341020118,0.3104876079009688,0.2868273673943497,0.2702819723256788,13.0,42.0,29.0,30.88235294117647,9.993079584775087,22.0,43.0,73.0,30.0,48.05882352941177,3.8477508650519043,43.0,26.9815386,95.96,68.97846139999999,69.2753563882353,23.67796104636678,47.867,933.47,2896.0,1962.53,2353.7335294117647,441.6625605536332,1941.0,4.0,13.0,9.0,5.470588235294118,1.1349480968858132,4.0,3.0,5.0,2.0,4.411764705882353,0.5536332179930796,4.0,121.0,164.0,43.0,155.58823529411765,6.034602076124568,153.0,1.54,2.16,0.6200000000000001,1.7252941176470586,0.20456747404844286,1.54,1.0,2.0,1.0,1.5294117647058822,0.49826989619377166,1.0,0.0,1.0,1.0,0.058823529411764705,0.11072664359861593,0.0,0.0,5.0,5.0,3.2941176470588234,1.134948096885813,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.882352941176471,0.6366782006920414,4.0,0.0,1.0,1.0,0.47058823529411764,0.49826989619377166,0.0,0.0,5.0,5.0,0.29411764705882354,0.5536332179930796,0.0,0.0,8.0,8.0,6.117647058823529,1.301038062283737,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.882352941176471,0.6366782006920414,6.0,13.01,18.18,5.17,15.92705882352941,1.4842906574394468,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.3019607843058825e-06,8.108881199526643e-06,0.0,194.0,229.0,35.0,220.52941176470588,12.484429065743944,194.0,1.5294117647058822,0.058823529411764705,3.2941176470588234,0.0,False,0.09162682579073211,0.014203024566569408,Al0.02291229139355327 Mo0.32588285922249083 Nb0.3155784527247367 Ti0.16259156579531966 V0.17303483086389948 ,Al0.058823529411764705Mo0.23529411764705882Nb0.23529411764705882Ti0.23529411764705882V0.23529411764705882,0.024456162037162964,4.781040591318444,-0.009479430499877017,1.8269896193771626,1.0398928735228121,-0.01270766391344736,69.2753563882353,294.40026465,-21.246583962371357,0.07204111574849534,0.16678200692041534,5.470588235294118,6.256055363321799,5.975882352941176,17.0,2.0,1.0,14.0,0,57.82529411764706,0.562051634899937,15.243598615916955,-0.12813129184112224,12.91
Al0.25 Mo1 Nb1 Ti1 V1,Al0.25 Mo1 Nb1 Ti1 V1,5,0.47425045578226765,0.3739918341020118,0.3104876079009688,0.2868273673943497,0.2702819723256788,13.0,42.0,29.0,30.88235294117647,9.993079584775087,22.0,43.0,73.0,30.0,48.05882352941177,3.8477508650519043,43.0,26.9815386,95.96,68.97846139999999,69.2753563882353,23.67796104636678,47.867,933.47,2896.0,1962.53,2353.7335294117647,441.6625605536332,1941.0,4.0,13.0,9.0,5.470588235294118,1.1349480968858132,4.0,3.0,5.0,2.0,4.411764705882353,0.5536332179930796,4.0,121.0,164.0,43.0,155.58823529411765,6.034602076124568,153.0,1.54,2.16,0.6200000000000001,1.7252941176470586,0.20456747404844286,1.54,1.0,2.0,1.0,1.5294117647058822,0.49826989619377166,1.0,0.0,1.0,1.0,0.058823529411764705,0.11072664359861593,0.0,0.0,5.0,5.0,3.2941176470588234,1.134948096885813,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.882352941176471,0.6366782006920414,4.0,0.0,1.0,1.0,0.47058823529411764,0.49826989619377166,0.0,0.0,5.0,5.0,0.29411764705882354,0.5536332179930796,0.0,0.0,8.0,8.0,6.117647058823529,1.301038062283737,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.882352941176471,0.6366782006920414,6.0,13.01,18.18,5.17,15.92705882352941,1.4842906574394468,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.3019607843058825e-06,8.108881199526643e-06,0.0,194.0,229.0,35.0,220.52941176470588,12.484429065743944,194.0,1.5294117647058822,0.058823529411764705,3.2941176470588234,0.0,False,0.09162682579073211,0.014203024566569408,Al0.02291229139355327 Mo0.32588285922249083 Nb0.3155784527247367 Ti0.16259156579531966 V0.17303483086389948 ,Al0.058823529411764705Mo0.23529411764705882Nb0.23529411764705882Ti0.23529411764705882V0.23529411764705882,0.024456162037162964,4.781040591318444,-0.009479430499877017,1.8269896193771626,1.0398928735228121,-0.01270766391344736,69.2753563882353,294.40026465,-21.246583962371357,0.07204111574849534,0.16678200692041534,5.470588235294118,6.256055363321799,5.975882352941176,17.0,2.0,1.0,14.0,0,57.82529411764706,0.562051634899937,15.243598615916955,-0.12813129184112224,12.91
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,6,0.42567978010107466,0.32321667540000276,0.2603516500228261,0.2374541159084913,0.22162624185058363,13.0,73.0,60.0,47.528301886792455,18.84656461374155,22.0,43.0,73.0,30.0,46.9622641509434,3.3535065859736566,43.0,26.9815386,180.94788,153.9663414,113.11881539245283,50.264244986828054,47.867,933.47,3290.0,2356.5299999999997,2433.026603773585,470.535920256319,1941.0,4.0,13.0,9.0,4.886792452830188,1.0039159843360626,4.0,3.0,6.0,3.0,5.0754716981132075,0.6977572089711641,4.0,121.0,175.0,54.0,166.0943396226415,8.195087219651121,160.0,1.3,1.61,0.31000000000000005,1.4628301886792454,0.11156995372018509,1.3,1.0,2.0,1.0,1.8113207547169812,0.30615877536489855,1.0,0.0,1.0,1.0,0.05660377358490566,0.10679957280170879,0.0,0.0,4.0,4.0,2.452830188679245,0.7903168387326451,2.0,0.0,14.0,14.0,5.283018867924529,6.578853684585261,0.0,3.0,19.0,16.0,9.60377358490566,6.714133143467427,4.0,0.0,1.0,1.0,0.18867924528301888,0.30615877536489855,0.0,0.0,5.0,5.0,0.2830188679245283,0.533997864008544,0.0,0.0,8.0,8.0,6.981132075471699,1.1605553577785686,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.452830188679245,0.619437522249911,7.0,16.48,23.195,6.715,19.496037735849058,2.416197935208259,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,4.251572327037736e-06,6.898777738212176e-06,0.0,194.0,229.0,35.0,208.9622641509434,16.938412246351017,194.0,1.8113207547169812,0.05660377358490566,2.452830188679245,5.283018867924529,False,0.02373869707974785,0.003594365065352106,Al0.013501351623849212 Hf0.29771668288539166 Nb0.15496542816118378 Ta0.30181636287043473 Ti0.07984091243024842 Zr0.15215926202889218 ,Al0.05660377358490566Hf0.18867924528301888Nb0.18867924528301888Ta0.18867924528301888Ti0.18867924528301888Zr0.18867924528301888,0.04902754691451272,8.806520401358936,-0.0036449432730614687,3.7842648629405486,1.0712105318732297,-0.014431908651129232,113.11881539245285,599.52972158,-6.0040381540796846,0.06588987304267127,0.13937344250622993,4.886792452830188,3.987184051263794,6.457924528301888,15.0,1.0,1.0,13.0,0,45.39000000000001,0.2920489106723441,7.084798860804556,-0.04031780026908745,50.0
