,No,class,HV,Al,Co,Cr,Cu,Fe,Ni,Mn,Mo,Ti,V,formula
0,1,2,220.0,0.0,0.222,0.222,0.0,0.222,0.222,0.0,0.111,0.0,0.0,Co0.222Cr0.222Fe0.222Ni0.222Mo0.111
1,2,2,440.0,0.1,0.2,0.2,0.0,0.2,0.2,0.0,0.1,0.0,0.0,Al0.1Co0.2Cr0.2Fe0.2Ni0.2Mo0.1
2,3,1,801.0,0.2,0.1,0.2,0.0,0.2,0.2,0.0,0.1,0.0,0.0,Al0.2Co0.1Cr0.2Fe0.2Ni0.2Mo0.1
3,4,1,755.0,0.2,0.2,0.2,0.0,0.1,0.2,0.0,0.1,0.0,0.0,Al0.2Co0.2Cr0.2Fe0.1Ni0.2Mo0.1
4,5,1,754.0,0.196,0.196,0.196,0.0,0.118,0.196,0.0,0.098,0.0,0.0,Al0.196Co0.196Cr0.196Fe0.118Ni0.196Mo0.098
5,6,1,708.0,0.2,0.2,0.2,0.0,0.2,0.1,0.0,0.1,0.0,0.0,Al0.2Co0.2Cr0.2Fe0.2Ni0.1Mo0.1
6,7,1,586.0,0.167,0.167,0.167,0.0,0.167,0.25,0.0,0.083,0.0,0.0,Al0.167Co0.167Cr0.167Fe0.167Ni0.25Mo0.083
7,8,2,395.0,0.154,0.154,0.154,0.0,0.154,0.308,0.0,0.077,0.0,0.0,Al0.154Co0.154Cr0.154Fe0.154Ni0.308Mo0.077
8,9,1,741.0,0.167,0.25,0.167,0.0,0.167,0.167,0.0,0.083,0.0,0.0,Al0.167Co0.25Cr0.167Fe0.167Ni0.167Mo0.083
9,10,1,586.0,0.154,0.308,0.154,0.0,0.154,0.154,0.0,0.077,0.0,0.0,Al0.154Co0.308Cr0.154Fe0.154Ni0.154Mo0.077
10,11,1,635.0,0.167,0.167,0.167,0.0,0.25,0.167,0.0,0.083,0.0,0.0,Al0.167Co0.167Cr0.167Fe0.25Ni0.167Mo0.083
11,12,1,639.0,0.154,0.154,0.154,0.0,0.308,0.154,0.0,0.077,0.0,0.0,Al0.154Co0.154Cr0.154Fe0.308Ni0.154Mo0.077
12,13,1,665.0,0.25,0.167,0.167,0.0,0.167,0.167,0.0,0.083,0.0,0.0,Al0.25Co0.167Cr0.167Fe0.167Ni0.167Mo0.083
13,14,1,615.0,0.308,0.154,0.154,0.0,0.154,0.154,0.0,0.077,0.0,0.0,Al0.308Co0.154Cr0.154Fe0.154Ni0.154Mo0.077
14,15,2,151.0,0.0,0.19,0.19,0.0,0.19,0.19,0.19,0.0,0.0,0.048,Co0.19Cr0.19Fe0.19Ni0.19Mn0.19V0.048
15,16,2,186.0,0.0,0.182,0.182,0.0,0.182,0.182,0.182,0.0,0.0,0.091,Co0.182Cr0.182Fe0.182Ni0.182Mn0.182V0.091
16,17,2,342.0,0.0,0.174,0.174,0.0,0.174,0.174,0.174,0.0,0.0,0.13,Co0.174Cr0.174Fe0.174Ni0.174Mn0.174V0.13
17,18,1,650.0,0.0,0.167,0.167,0.0,0.167,0.167,0.167,0.0,0.0,0.167,Co0.167Cr0.167Fe0.167Ni0.167Mn0.167V0.167
18,19,2,180.0,0.02,0.196,0.196,0.0,0.196,0.196,0.196,0.0,0.0,0.0,Al0.02Co0.196Cr0.196Fe0.196Ni0.196Mn0.196
19,20,2,171.0,0.038,0.192,0.192,0.0,0.192,0.192,0.192,0.0,0.0,0.0,Al0.038Co0.192Cr0.192Fe0.192Ni0.192Mn0.192
20,21,2,182.0,0.071,0.186,0.186,0.0,0.186,0.186,0.186,0.0,0.0,0.0,Al0.071Co0.186Cr0.186Fe0.186Ni0.186Mn0.186
21,22,2,183.0,0.079,0.184,0.184,0.0,0.184,0.184,0.184,0.0,0.0,0.0,Al0.079Co0.184Cr0.184Fe0.184Ni0.184Mn0.184
22,23,2,220.0,0.089,0.182,0.182,0.0,0.182,0.182,0.182,0.0,0.0,0.0,Al0.089Co0.182Cr0.182Fe0.182Ni0.182Mn0.182
23,24,2,278.0,0.101,0.18,0.18,0.0,0.18,0.18,0.18,0.0,0.0,0.0,Al0.101Co0.18Cr0.18Fe0.18Ni0.18Mn0.18
24,25,2,405.0,0.11,0.178,0.178,0.0,0.178,0.178,0.178,0.0,0.0,0.0,Al0.11Co0.178Cr0.178Fe0.178Ni0.178Mn0.178
25,26,2,486.0,0.12,0.176,0.176,0.0,0.176,0.176,0.176,0.0,0.0,0.0,Al0.12Co0.176Cr0.176Fe0.176Ni0.176Mn0.176
26,27,1,530.0,0.13,0.174,0.174,0.0,0.174,0.174,0.174,0.0,0.0,0.0,Al0.13Co0.174Cr0.174Fe0.174Ni0.174Mn0.174
27,28,1,539.0,0.139,0.172,0.172,0.0,0.172,0.172,0.172,0.0,0.0,0.0,Al0.139Co0.172Cr0.172Fe0.172Ni0.172Mn0.172
28,29,1,533.0,0.15,0.17,0.17,0.0,0.17,0.17,0.17,0.0,0.0,0.0,Al0.15Co0.17Cr0.17Fe0.17Ni0.17Mn0.17
29,30,1,535.0,0.16,0.168,0.168,0.0,0.168,0.168,0.168,0.0,0.0,0.0,Al0.16Co0.168Cr0.168Fe0.168Ni0.168Mn0.168
30,31,1,539.0,0.2,0.16,0.16,0.0,0.16,0.16,0.16,0.0,0.0,0.0,Al0.2Co0.16Cr0.16Fe0.16Ni0.16Mn0.16
31,32,2,396.0,0.111,0.0,0.222,0.0,0.333,0.111,0.222,0.0,0.0,0.0,Al0.111Cr0.222Fe0.333Ni0.111Mn0.222
32,33,2,297.0,0.07,0.0,0.233,0.0,0.349,0.116,0.233,0.0,0.0,0.0,Al0.07Cr0.233Fe0.349Ni0.116Mn0.233
33,34,1,857.0,0.222,0.222,0.222,0.0,0.222,0.0,0.0,0.111,0.0,0.0,Al0.222Co0.222Cr0.222Fe0.222Mo0.111
