Fe,Co,Cr,Ni,Al,Ti
21,19,16,38,4,2
21,18,16,39,4,2
21,17,16,40,4,2
21,16,16,41,4,2
22,18,16,38,4,2
21,16,16,38,7,2
21,15,16,38,8,2
21,18,16,38,5,2
21,15,16,39,7,2
21,14,16,40,7,2
21,13,16,41,7,2
21,20,16,37,4,2
21,13,16,38,10,2
21,14,16,39,8,2
21,13,16,40,8,2
21,14,16,38,9,2
21,23,16,34,4,2
21,18,17,38,4,2
21,13,16,39,9,2
21,22,16,35,4,2
21,17,16,39,5,2
21,16,16,40,5,2
21,15,16,41,5,2
22,17,16,39,4,2
22,15,16,38,7,2
22,16,16,40,4,2
22,15,16,41,4,2
22,14,16,38,8,2
21,17,16,38,6,2
22,14,16,39,7,2
22,19,16,37,4,2
22,13,16,38,9,2
22,13,16,39,8,2
22,13,16,40,7,2
22,23,16,33,4,2
21,17,16,37,7,2
21,16,16,39,6,2
21,15,16,40,6,2
21,14,16,41,6,2
21,16,16,37,8,2
21,17,17,39,4,2
21,16,17,40,4,2
21,15,17,41,4,2
21,23,16,31,7,2
21,19,16,37,5,2
21,15,16,42,4,2
21,14,16,43,4,2
21,13,16,44,4,2
21,21,16,36,4,2
21,14,16,37,10,2
21,15,17,38,7,2
21,23,16,33,5,2
22,17,16,38,5,2
21,15,16,37,9,2
21,14,17,38,8,2
21,22,16,31,8,2
22,22,16,34,4,2
21,19,17,37,4,2
21,22,16,32,7,2
21,19,16,34,8,2
22,16,16,39,5,2
21,23,17,33,4,2
21,18,16,35,8,2
21,13,17,38,9,2
21,14,17,39,7,2
21,13,17,40,7,2
21,13,17,39,8,2
21,20,16,33,8,2
22,15,16,40,5,2
22,14,16,41,5,2
21,22,16,34,5,2
21,20,16,34,7,2
21,19,16,35,7,2
21,23,16,30,8,2
21,18,16,36,7,2
21,23,16,32,6,2
21,23,16,28,10,2
21,18,16,37,6,2
21,23,16,29,9,2
20,20,16,38,4,2
17,23,16,38,4,2
21,21,16,32,8,2
22,16,16,38,6,2
21,19,16,32,10,2
21,18,16,34,9,2
21,20,16,31,10,2
21,17,16,36,8,2
22,16,16,37,7,2
21,18,16,33,10,2
21,20,16,32,9,2
21,19,16,33,9,2
21,17,17,38,5,2
22,15,16,37,8,2
22,17,17,38,4,2
21,22,17,34,4,2
21,21,16,33,7,2
21,16,19,38,4,2
21,17,18,38,4,2
21,21,16,31,9,2
16,23,16,39,4,2
15,23,16,40,4,2
20,19,16,39,4,2
20,18,16,40,4,2
21,17,16,34,10,2
21,16,16,35,10,2
21,15,16,36,10,2
22,18,16,37,5,2
22,21,16,35,4,2
22,13,16,37,10,2
22,15,16,39,6,2
21,22,16,33,6,2
22,20,16,36,4,2
21,17,16,35,9,2
21,16,16,36,9,2
22,23,16,32,5,2
22,14,16,37,9,2
21,14,16,42,5,2
21,13,16,43,5,2
21,22,16,29,10,2
18,22,16,38,4,2
22,14,16,40,6,2
22,13,16,41,6,2
21,22,16,30,9,2
21,16,17,39,5,2
21,15,17,40,5,2
