formula,target,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char
Co0.222Cr0.222Fe0.222Ni0.222Mo0.111,220.0,Co0.222 Cr0.222 Fe0.222 Ni0.222 Mo0.111,5,0.4581228472908512,0.35639270333286965,0.29368071755793507,0.2709674436492629,0.25527253251330995,24.0,42.0,18.0,28.0,3.111111111111111,24.0,49.0,61.0,12.0,55.11111111111111,3.901234567901234,49.0,51.9961,95.96,43.963899999999995,60.766154444444446,7.820854567901238,51.9961,1728.0,2896.0,1168.0,1985.5555555555557,288.7407407407408,1728.0,6.0,10.0,4.0,8.000000000000002,1.3333333333333337,6.0,4.0,5.0,1.0,4.111111111111112,0.19753086419753124,4.0,124.0,154.0,30.0,132.88888888888889,7.407407407407406,124.0,1.66,2.16,0.5000000000000002,1.8577777777777778,0.1002469135802469,1.66,1.0,2.0,1.0,1.6666666666666667,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.333333333333333,1.0370370370370368,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4.0,8.000000000000002,1.3333333333333337,6.0,0.0,1.0,1.0,0.33333333333333337,0.44444444444444453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.666666666666667,1.0370370370370368,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,1.3333333333333335,2.0,10.245,15.69,5.445,11.184444444444445,1.0037037037037035,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.9454508222222222,0.7858810469135803,0.0,194.0,229.0,35.0,220.33333333333337,11.703703703703683,194.0,1.6666666666666667,0.0,6.333333333333333,0.0,False,0.0605869371865243,0.004857126886161742
Al0.1Co0.2Cr0.2Fe0.2Ni0.2Mo0.1,440.0,Al0.1 Co0.2 Cr0.2 Fe0.2 Ni0.2 Mo0.1,6,0.42426406871192857,0.3239611801277484,0.26472116807053714,0.24393855425784636,0.2297508862927027,13.0,42.0,29.0,26.500000000000004,3.900000000000001,24.0,49.0,73.0,24.0,56.90000000000001,5.300000000000002,49.0,26.9815386,95.96,68.97846139999999,57.38769286000001,8.85494514,51.9961,933.47,2896.0,1962.53,1880.347,322.99180000000007,1728.0,6.0,13.0,7.0,8.500000000000002,1.7000000000000002,6.0,3.0,5.0,2.0,4.000000000000001,0.20000000000000076,4.0,121.0,154.0,33.0,131.70000000000005,7.500000000000001,124.0,1.61,2.16,0.55,1.8330000000000002,0.11499999999999998,1.66,1.0,2.0,1.0,1.7000000000000004,0.42,1.0,0.0,1.0,1.0,0.10000000000000002,0.18000000000000008,0.0,0.0,8.0,8.0,5.700000000000002,1.5599999999999998,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.500000000000001,1.8000000000000003,6.0,0.0,1.0,1.0,0.3000000000000001,0.42000000000000015,0.0,0.0,5.0,5.0,0.5000000000000001,0.9000000000000005,0.0,0.0,5.0,5.0,3.3000000000000007,1.3000000000000003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.100000000000001,1.3200000000000007,2.0,10.245,16.48,6.235000000000001,11.714000000000004,1.7484000000000028,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8509057400000003,0.7829290080000003,0.0,194.0,229.0,35.0,220.80000000000004,10.71999999999998,194.0,1.7000000000000004,0.10000000000000002,5.700000000000002,0.0,False,0.0728361721882469,0.005721846218051526
Al0.2Co0.1Cr0.2Fe0.2Ni0.2Mo0.1,801.0,Al0.2 Co0.1 Cr0.2 Fe0.2 Ni0.2 Mo0.1,6,0.42426406871192857,0.3239611801277484,0.26472116807053714,0.24393855425784636,0.2297508862927027,13.0,42.0,29.0,25.100000000000005,5.28,13.0,49.0,73.0,24.0,58.40000000000001,6.880000000000004,49.0,26.9815386,95.96,68.97846139999999,54.19252722000001,11.762966336,26.9815386,933.47,2896.0,1962.53,1796.894,378.7060000000001,933.47,6.0,13.0,7.0,8.900000000000002,2.1,6.0,3.0,5.0,2.0,3.900000000000001,0.3599999999999996,3.0,121.0,154.0,33.0,131.20000000000005,8.000000000000002,121.0,1.61,2.16,0.55,1.8060000000000005,0.13679999999999995,1.61,1.0,2.0,1.0,1.7000000000000004,0.42,1.0,0.0,1.0,1.0,0.20000000000000004,0.3200000000000001,0.0,0.0,8.0,8.0,5.000000000000001,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.900000000000001,2.1000000000000005,3.0,0.0,1.0,1.0,0.3000000000000001,0.42000000000000015,0.0,0.0,5.0,5.0,1.0000000000000002,1.6000000000000008,0.0,0.0,5.0,5.0,3.0000000000000004,1.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.300000000000001,1.3000000000000005,2.0,10.245,16.48,6.235000000000001,12.337500000000004,2.327500000000003,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6960586200000002,0.7363241880000003,0.0,194.0,229.0,35.0,223.90000000000006,5.97999999999995,225.0,1.7000000000000004,0.20000000000000004,5.000000000000001,0.0,False,0.0728361721882469,0.006696592014303586
Al0.2Co0.2Cr0.2Fe0.1Ni0.2Mo0.1,755.0,Al0.2 Co0.2 Cr0.2 Fe0.1 Ni0.2 Mo0.1,6,0.42426406871192857,0.3239611801277484,0.26472116807053714,0.24393855425784636,0.2297508862927027,13.0,42.0,29.0,25.199999999999992,5.360000000000001,13.0,49.0,73.0,24.0,58.69999999999999,6.639999999999997,49.0,26.9815386,95.96,68.97846139999999,54.50134671999999,12.010021935999998,26.9815386,933.47,2896.0,1962.53,1792.5939999999996,379.32479999999987,933.47,6.0,13.0,7.0,8.999999999999998,2.0,6.0,3.0,5.0,2.0,3.8999999999999995,0.36000000000000026,3.0,121.0,154.0,33.0,130.59999999999997,8.319999999999991,121.0,1.61,2.16,0.55,1.8109999999999997,0.1408,1.61,1.0,2.0,1.0,1.6999999999999997,0.42000000000000004,1.0,0.0,1.0,1.0,0.19999999999999996,0.31999999999999995,0.0,0.0,8.0,8.0,5.1,2.0999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.999999999999998,2.1999999999999997,3.0,0.0,1.0,1.0,0.3,0.41999999999999993,0.0,0.0,5.0,5.0,0.9999999999999998,1.5999999999999992,0.0,0.0,5.0,5.0,2.8999999999999995,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.199999999999999,1.4,2.0,10.245,16.48,6.235000000000001,12.288999999999998,2.356599999999999,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.63983946,0.6576173639999999,0.0,194.0,229.0,35.0,220.39999999999998,10.560000000000015,194.0,1.6999999999999997,0.19999999999999996,5.1,0.0,False,0.0728361721882469,0.00681185071288321
Al0.196Co0.196Cr0.196Fe0.118Ni0.196Mo0.098,754.0,Al0.196 Co0.196 Cr0.196 Fe0.118 Ni0.196 Mo0.098,6,0.42094180120296915,0.31978621136854024,0.26003490735809004,0.23923674906492443,0.22518555082778874,13.0,42.0,29.0,25.215999999999994,5.265344000000001,13.0,49.0,73.0,24.0,58.62599999999999,6.565215999999996,49.0,26.9815386,95.96,68.97846139999999,54.52821978559998,11.790889980710402,26.9815386,933.47,2896.0,1962.53,1792.9621199999997,372.1712131199999,933.47,6.0,13.0,7.0,8.979999999999999,1.9835199999999997,6.0,3.0,5.0,2.0,3.9019999999999992,0.3535840000000004,3.0,121.0,154.0,33.0,130.628,8.186527999999996,121.0,1.61,2.16,0.55,1.8113799999999995,0.13828192000000003,1.61,1.0,2.0,1.0,1.7059999999999997,0.41512800000000005,1.0,0.0,1.0,1.0,0.19599999999999995,0.31516799999999995,0.0,0.0,8.0,8.0,5.117999999999999,2.0756399999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.019999999999999,2.1755999999999993,3.0,0.0,1.0,1.0,0.294,0.41512799999999994,0.0,0.0,5.0,5.0,0.9799999999999998,1.5758399999999997,0.0,0.0,5.0,5.0,2.9219999999999993,1.5068479999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.195999999999999,1.3759199999999998,2.0,10.245,16.48,6.235000000000001,12.257819999999997,2.327801839999999,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6692559267999999,0.6848244091695999,0.0,194.0,229.0,35.0,220.57199999999995,10.416224000000032,194.0,1.7059999999999997,0.19599999999999995,5.117999999999999,0.0,False,0.0728361721882469,0.006678824937957084
Al0.2Co0.2Cr0.2Fe0.2Ni0.1Mo0.1,708.0,Al0.2 Co0.2 Cr0.2 Fe0.2 Ni0.1 Mo0.1,6,0.42426406871192857,0.3239611801277484,0.26472116807053714,0.24393855425784636,0.2297508862927027,13.0,42.0,29.0,25.0,5.200000000000001,13.0,49.0,73.0,24.0,58.1,6.540000000000001,49.0,26.9815386,95.96,68.97846139999999,54.21650672,11.782149936,26.9815386,933.47,2896.0,1962.53,1800.8940000000002,374.706,933.47,6.0,13.0,7.0,8.8,2.0,6.0,3.0,5.0,2.0,3.9,0.3600000000000001,3.0,121.0,154.0,33.0,131.4,7.800000000000001,121.0,1.61,2.16,0.55,1.8030000000000002,0.13439999999999996,1.61,1.0,2.0,1.0,1.7,0.42000000000000004,1.0,0.0,1.0,1.0,0.2,0.32000000000000006,0.0,0.0,8.0,8.0,4.9,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.800000000000001,2.0,3.0,0.0,1.0,1.0,0.30000000000000004,0.42000000000000004,0.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,5.0,5.0,3.1000000000000005,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.4,1.2,3.0,10.245,16.48,6.235000000000001,12.330000000000002,2.332000000000001,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7913662700000001,0.8305605840000001,0.0,194.0,229.0,35.0,220.80000000000004,10.719999999999978,194.0,1.7,0.2,4.9,0.0,False,0.0728361721882469,0.006562863604905182
Al0.167Co0.167Cr0.167Fe0.167Ni0.25Mo0.083,586.0,Al0.167 Co0.167 Cr0.167 Fe0.167 Ni0.25 Mo0.083,6,0.4249513526418331,0.32623942570238496,0.2721373790068219,0.2574805017511945,0.25146413236031084,13.0,42.0,29.0,25.49050949050949,4.664995344316025,28.0,49.0,73.0,24.0,58.586413586413585,6.01491615277829,61.0,26.9815386,95.96,68.97846139999999,54.94031389730269,10.311287103894308,58.6934,933.47,2896.0,1962.53,1788.2222677322677,322.03059811317553,1728.0,6.0,13.0,7.0,9.000999000999,1.8333334996671655,10.0,3.0,5.0,2.0,3.916083916083916,0.3056663616104177,4.0,121.0,154.0,33.0,130.15784215784217,7.518840799560081,124.0,1.61,2.16,0.55,1.8206193806193807,0.12386987637736885,1.91,1.0,2.0,1.0,1.75024975024975,0.3747501249998753,2.0,0.0,1.0,1.0,0.16683316683316682,0.27799972255516703,0.0,0.0,8.0,8.0,5.415584415584415,2.014582819777625,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.332667332667333,2.111333222222333,10.0,0.0,1.0,1.0,0.24975024975024973,0.3747501249998752,0.0,0.0,5.0,5.0,0.8341658341658341,1.3899986127758355,0.0,0.0,5.0,5.0,2.916083916083916,1.4305834026113744,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,1.3326673326673326,2.0,10.245,16.48,6.235000000000001,11.993991008991008,2.1097547407637314,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.759164888111888,0.7143142964448139,0.5953947,194.0,229.0,35.0,221.4945054945055,9.173990844320517,225.0,1.75024975024975,0.16683316683316682,5.415584415584415,0.0,False,0.0728361721882469,0.005863091685715497
Al0.154Co0.154Cr0.154Fe0.154Ni0.308Mo0.077,395.0,Al0.154 Co0.154 Cr0.154 Fe0.154 Ni0.308 Mo0.077,6,0.4418894343490792,0.35343853016977234,0.31508121329327105,0.3090504983774286,0.3078123184867024,13.0,42.0,29.0,25.692307692307697,4.4260355029585785,28.0,49.0,73.0,24.0,58.769230769230774,5.751479289940829,61.0,26.9815386,95.96,68.97846139999999,55.249635938461545,9.698964085207097,58.6934,933.47,2896.0,1962.53,1784.0723076923077,301.17514792899414,1728.0,6.0,13.0,7.0,9.076923076923077,1.775147928994083,10.0,3.0,5.0,2.0,3.923076923076923,0.2840236686390534,4.0,121.0,154.0,33.0,129.6923076923077,7.313609467455626,124.0,1.61,2.16,0.55,1.827692307692308,0.11857988165680464,1.91,1.0,2.0,1.0,1.7692307692307694,0.3550295857988165,2.0,0.0,1.0,1.0,0.15384615384615385,0.2603550295857988,0.0,0.0,8.0,8.0,5.615384615384617,2.0118343195266273,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.538461538461538,2.106508875739645,10.0,0.0,1.0,1.0,0.23076923076923078,0.3550295857988166,0.0,0.0,5.0,5.0,0.7692307692307694,1.3017751479289943,0.0,0.0,5.0,5.0,2.8461538461538467,1.396449704142012,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.8461538461538463,1.3964497041420119,2.0,10.245,16.48,6.235000000000001,11.866153846153848,2.007928994082842,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7461420615384617,0.6667230390532547,0.5953947,194.0,229.0,35.0,221.7692307692308,8.54437869822483,225.0,1.7692307692307694,0.15384615384615385,5.615384615384617,0.0,False,0.0728361721882469,0.005563628263388024
Al0.167Co0.25Cr0.167Fe0.167Ni0.167Mo0.083,741.0,Al0.167 Co0.25 Cr0.167 Fe0.167 Ni0.167 Mo0.083,6,0.4249513526418331,0.32623942570238496,0.2721373790068219,0.2574805017511945,0.25146413236031084,13.0,42.0,29.0,25.407592407592407,4.609662066205523,27.0,49.0,73.0,24.0,58.33766233766234,5.780660897544014,58.0,26.9815386,95.96,68.97846139999999,54.96019699920079,10.324555747318815,58.933195,933.47,2896.0,1962.53,1791.5389510489506,319.2672475775971,1768.0,6.0,13.0,7.0,8.918081918081917,1.7639164032770427,9.0,3.0,5.0,2.0,3.916083916083916,0.3056663616104177,4.0,121.0,154.0,33.0,130.32367632367632,7.380673272781165,126.0,1.61,2.16,0.55,1.8181318681318683,0.12220987803405375,1.88,1.0,2.0,1.0,1.7502497502497503,0.3747501249998752,2.0,0.0,1.0,1.0,0.16683316683316682,0.27799972255516703,0.0,0.0,8.0,8.0,5.332667332667332,1.9454990563881673,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.2497502497502495,2.0422494588328752,9.0,0.0,1.0,1.0,0.24975024975024973,0.3747501249998752,0.0,0.0,5.0,5.0,0.8341658341658341,1.3899986127758355,0.0,0.0,5.0,5.0,2.999000999000999,1.333998668664003,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.082917082917082,1.263583569277875,3.0,10.245,16.48,6.235000000000001,11.987772227772227,2.112861025088797,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8381912112887112,0.7793661388463685,1.5484712,194.0,229.0,35.0,218.92407592407594,12.44958837366429,194.0,1.7502497502497503,0.16683316683316682,5.332667332667332,0.0,False,0.0728361721882469,0.005770434535897894
Al0.154Co0.308Cr0.154Fe0.154Ni0.154Mo0.077,586.0,Al0.154 Co0.308 Cr0.154 Fe0.154 Ni0.154 Mo0.077,6,0.4418894343490792,0.35343853016977234,0.31508121329327105,0.3090504983774286,0.3078123184867024,13.0,42.0,29.0,25.538461538461537,4.331360946745563,27.0,49.0,73.0,24.0,58.3076923076923,5.349112426035499,58.0,26.9815386,95.96,68.97846139999999,55.28652747692306,9.721666570414204,58.933195,933.47,2896.0,1962.53,1790.2261538461537,296.4414201183431,1768.0,6.0,13.0,7.0,8.923076923076922,1.6331360946745561,9.0,3.0,5.0,2.0,3.923076923076923,0.28402366863905326,4.0,121.0,154.0,33.0,129.99999999999997,7.07692307692307,126.0,1.61,2.16,0.55,1.8230769230769226,0.11573964497041435,1.88,1.0,2.0,1.0,1.769230769230769,0.35502958579881666,2.0,0.0,1.0,1.0,0.15384615384615383,0.26035502958579876,0.0,0.0,8.0,8.0,5.461538461538461,1.8934911242603552,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.384615384615383,1.988165680473373,9.0,0.0,1.0,1.0,0.23076923076923073,0.3550295857988165,0.0,0.0,5.0,5.0,0.7692307692307692,1.3017751479289936,0.0,0.0,5.0,5.0,3.0,1.2307692307692306,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.999999999999999,1.2307692307692308,3.0,10.245,16.48,6.235000000000001,11.854615384615382,2.013254437869821,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8927692153846153,0.7782454011834319,1.5484712,194.0,229.0,35.0,217.0,14.153846153846148,194.0,1.769230769230769,0.15384615384615383,5.461538461538461,0.0,False,0.0728361721882469,0.0054053697907271905
