name,NComp,Phase,dev_NdValence,maxdiff_AtomicWeight,maxdiff_Electronegativity,MixingEntropy,mean_NsValence,mean_CovalentRadius,frac_pValence,maxdiff_NUnfilled,mean_NValance,mean_MeltingT,mean_DeltaHf,min_NpUnfilled
Ag0.05Zr1.0,2,BCC,1.70367084,16.6442,0.6,1.591666097,1.952380952,173.5714286,0,7,4.333333333,2085.472857,-3.628117914,0
Al0.18Cr1.0,2,BCC,1.797729105,25.0145614,0.05,3.55085835,1.152542373,136.2542373,0.027522936,1,5.542372881,1989.851356,-5.170927894,0
Al0.11Fe1.0,2,BCC,1.792770157,28.8634614,0.22,2.686244842,2,130.9099099,0.013205282,1,7.504504505,1724.037568,-3.928252577,0
Al0.11W1.0,2,BCC,1.195180105,156.8584614,0.75,2.686244842,2,157.9369369,0.005410723,1,18.31531532,3421.334865,-0.714227741,0
Al0.25Fe1.0,2,BCC,2.4,28.8634614,0.22,4.160345749,2,129.8,0.028571429,1,7,1635.494,-7.04,0
Al0.25Ti1.0,2,BCC,0.8,20.8854614,0.07,4.160345749,2,152.2,0.052631579,3,3.8,1739.494,-19.2,0
Al0.25V1.0,2,BCC,1.2,23.9599614,0.02,4.160345749,2,146.6,0.043478261,2,4.6,1933.094,-10.24,0
Al0.43Cr1.0,2,BCC,2.292810673,25.0145614,0.05,5.083642309,1.300699301,133.5874126,0.058984911,1,5.097902098,1805.169301,-8.41116925,0
Al0.21Nb0.71Ta0.57Ti1.0V0.14Zr0.93,6,BCC,1.001210447,153.9663414,0.3,13.43880101,1.800561798,163.741573,0.008962868,3,6.581460674,2317.272107,-4.759563186,0
Al0.4Hf0.6Nb1.0Ta1.0Ti1.0Zr1.0,6,BCC,1.061319933,153.9663414,0.31,14.4999506,1.8,164.48,0.009090909,3,8.8,2397.1976,-6.3296,0
Al0.67V1.0,2,BCC,1.470422654,23.9599614,0.02,5.599431335,2,140.1616766,0.095577746,2,4.19760479,1681.691557,-15.37523755,0
Al0.75Hf1.0Nb1.0Ta1.0Ti1.0Zr1.0,6,BCC,1.150326657,153.9663414,0.31,14.85482004,1.826086957,162.5652174,0.014354067,3,9.086956522,2315.67,-11.55387524,0
Al1.0Cr0.5Nb1.0Ti1.0V1.0,5,BCC,1.640535896,65.9248414,0.12,13.14521344,1.666666667,148.3333333,0.05,3,4.444444444,1977.215556,-15.40740741,0
Al1.0Cr1.0Mo1.0Ti1.0W1.0,5,BCC,1.939071943,156.8584614,0.82,13.3808668,1.6,147.2,0.025641026,3,7.8,2329.094,-10.08,0
Al0.67Nb1.0Ta0.33Ti1.0Zr0.33,5,BCC,1.420112468,153.9663414,0.28,12.49830156,1.6996997,155.8318318,0.036021505,3,5.585585586,2133.442913,-15.19090261,0
Al1.0Nb1.0Ta1.0Ti1.0V1.0,5,BCC,1.356465997,153.9663414,0.13,13.3808668,1.8,153.6,0.027777778,3,7.2,2219.494,-13.44,0
Al1.0Nb1.0Ti1.0V1.0,4,BCC,1.479019946,65.9248414,0.09,11.52565132,1.75,149.5,0.058823529,3,4.25,1951.8675,-16.25,0
